member_name,member_number
"WATERWAY CAPITAL, LLC",18828
WAVELAND CAPITAL PARTNERS LLC,18601
"WAYPOINT RESIDENTIAL, LLC",18554
WEALTHPLAN PARTNERS LLC,23998
WEDBUSH SECURITIES INC.,14270
"WEITZ INVESTMENT MANAGEMENT, INC.",14240
"WELLINGTON TRUST COMPANY, N.A.",14325
"WELLS FARGO BANK, NATIONAL ASSOCIATION",14330
"WELLS FARGO CLEARING SERVICES, LLC",17837
"WELLS FARGO SECURITIES, LLC",14337
"WESBANCO BANK, INC.",19053
WEST COAST STOCK TRANSFER INC.,19054
WESTERN-SOUTHERN LIFE ASSURANCE COMPANY,16572
"WFI MANAGEMENT II, LLC",19203
"WILLIAM BLAIR & COMPANY, L.L.C.",10431
WILLIAM PENN LIFE INSURANCE COMPANY OF NEW YORK,16399
WILLOW TREE CREDIT PARTNERS LP,28858
WILMINGTON TRUST COMPANY,14395
WILSHIRE PRIVATE ASSETS FUND,20703
"WILSHIRE QUINN INCOME FUND, LLC",20711
"WILSON-DAVIS & CO., INC.",14398
WILTON REASSURANCE LIFE COMPANY OF NEW YORK,10095
WINDWARD MANAGEMENT PARTNERS MASTER FUND LTD.,20917
"WINTRUST INVESTMENTS, LLC",14262
"WOLVERINE EXECUTION SERVICES, LLC",18141
"WOODMEN FINANCIAL SERVICES, INC.",14567
"WORLD CAPITAL BROKERAGE, INC.",10157
"WORLD EQUITY GROUP, INC.",14430
"WORLD FINANCIAL GROUP INSURANCE AGENCY, LLC",21098
YANKEE ADVISERS LLC,16293
"Z CAPITAL CREDIT PARTNERS, LLC",17220
ZEDRA FUND SERVICES (USA) LLC,17845
ZINNIA DISTRIBUTOR SOLUTIONS LLC,15264
"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",14460
"ZIONS DIRECT, INC.",14458
ZIV INVESTMENT CO.,14461
ZURICH AMERICAN LIFE INSURANCE COMPANY,12018
ZURICH AMERICAN LIFE INSURANCE COMPANY OF NEW YORK,17233
1FLOURISH VENTURES II LP,27797
"11 TRIBES VENTURES, LLC",25882
1776ING LLC,22798
26NORTH DIRECT LENDING LP,24437
401KSTORE.COM (THE),11387
"4101 POWELL AVE., LLC",22702
"48 DODGE QOF, LLC",24937
