member_name,member_number
BMO CAPITAL MARKETS CORP.,10454
BNP PARIBAS SECURITIES CORP.,10465
"BNP PARIBAS, NEW YORK BRANCH",16405
"BNY MELLON INSURANCE AGENCY, INC.",14570
BNY MELLON SECURITIES CORPORATION,12291
"BOFA SECURITIES, INC.",12342
"BOKF, N.A.",10315
BOLTON GLOBAL CAPITAL INC.,17858
BOSTON PARTNERS TRUST COMPANY,13443
BREAKWATER GROUP DISTRIBUTION SERVICES LLC,12245
BREVAN HOWARD CAPITAL MANAGEMENT LP,20380
BRIARWOOD CAPITAL PARTNERS LP,26841
BRIDGE FUND FINANCIAL SERVICES LLC,20541
"BRIDGEPORT FINANCIAL TECHNOLOGY, INC.",19325
BRIGHTHOUSE LIFE  INSURANCE COMPANY OF NY,11231
BRIGHTHOUSE LIFE INSURANCE  COMPANY,12398
"BROKERS INTERNATIONAL, LTD.",18456
"BROOKFIELD INFRASTRUCTURE INCOME FUND, INC",24398
BROOKFIELD PRIVATE WEALTH LLC,28199
BROOKFIELD REAL ESTATE INCOME TRUST INC.,18882
BROOKSTONE CAPITAL MANAGEMENT LLC,18305
BROWN BROTHERS HARRIMAN & CO.,14494
BRYANT BANK,17736
"BT REI MANAGER, LLC",24499
"BTG PACTUAL ASSET MANAGEMENT US, LLC",20098
BUCKLER SECURITIES LLC,26717
BULLDOG MANAGEMENT LLC,17810
"BURLINGTON CAPITAL MULTIFAMILY EQUITY FUND VI, LLC",18157
BUTTONWOOD GROUP ADVISORS LLC,16998
C.M. LIFE INSURANCE COMPANY,10746
CABOT LODGE SECURITIES LLC,28097
"CACHE PRIVATE CAPITAL MANAGEMENT, LLC",18357
CALAMOS FINANCIAL SERVICES LLC,10558
CALCAP INCOME FUND I LLC,17790
CALDWELL TRUST COMPANY,10563
"CALIBOGUE CAPITAL, LLC",18303
"CALTON & ASSOCIATES, INC.",16080
"CAMBRIDGE INVESTMENT RESEARCH, INC.",16502
"CAMPBELL & COMPANY, INC.",15664
"CANARAS CAPITAL MANAGEMENT, LLC",18352
CANTOR FITZGERALD & CO.,10583
